epoch,accuracy,loss,val_accuracy,val_loss
0,0.36396345496177673,1.3232818841934204,0.4380403459072113,1.2578915357589722
1,0.6473844647407532,0.9861855506896973,0.6570605039596558,0.9280624389648438
2,0.7915859222412109,0.5876256227493286,0.6858789920806885,0.7930830121040344
3,0.845557689666748,0.4180966317653656,0.7060518860816956,0.7709788680076599
4,0.8751729726791382,0.3343476355075836,0.6887608170509338,0.7919430136680603
5,0.9081096053123474,0.27073758840560913,0.6887608170509338,0.8632693886756897
6,0.9261001944541931,0.2200162708759308,0.680115282535553,0.9026814699172974
7,0.9341267347335815,0.18965838849544525,0.6772334575653076,0.9935211539268494
8,0.949903130531311,0.16287672519683838,0.6916426420211792,1.0160953998565674
9,0.9568225741386414,0.1432691365480423,0.6916426420211792,1.139530897140503
10,0.9631884694099426,0.12352903932332993,0.6829971075057983,1.157767415046692
11,0.9673401713371277,0.11199463903903961,0.6974063515663147,1.199748158454895
12,0.9690008163452148,0.10327497124671936,0.6916426420211792,1.2561120986938477
13,0.9725989699363708,0.09391506016254425,0.6714697480201721,1.3215025663375854
14,0.972045361995697,0.08855952322483063,0.6858789920806885,1.3507746458053589
15,0.9739828109741211,0.08138334006071091,0.680115282535553,1.3731611967086792
16,0.977027416229248,0.0824403166770935,0.680115282535553,1.4260222911834717
17,0.9778577089309692,0.0748857855796814,0.6628242135047913,1.4085285663604736
18,0.972875714302063,0.07889193296432495,0.6772334575653076,1.468673825263977
19,0.9792416095733643,0.0685090497136116,0.6772334575653076,1.4956079721450806
20,0.977027416229248,0.06832973659038544,0.6829971075057983,1.5652155876159668
21,0.976473867893219,0.06895547360181808,0.6829971075057983,1.5440610647201538
22,0.9784113168716431,0.06658151000738144,0.6714697480201721,1.5433006286621094
23,0.9781345129013062,0.06082756072282791,0.6772334575653076,1.5938698053359985
24,0.976473867893219,0.06428612023591995,0.680115282535553,1.5752534866333008
